period,be_savings,nl_savings,be_current,nl_current,euribor3m
1994-01,,,,,6.91
1994-02,,,,,6.86
1994-03,,,,,6.75
1994-04,,,,,6.57
1994-05,,,,,6.24
1994-06,,,,,6.3
1994-07,,,,,6.34
1994-08,,,,,6.43
1994-09,,,,,6.38
1994-10,,,,,6.43
1994-11,,,,,6.4
1994-12,,,,,6.69
1995-01,,,,,6.66
1995-02,,,,,6.59
1995-03,,,,,7.58
1995-04,,,,,7.29
1995-05,,,,,7.04
1995-06,,,,,7.08
1995-07,,,,,6.92
1995-08,,,,,6.66
1995-09,,,,,6.5
1995-10,,,,,6.75
1995-11,,,,,6.45
1995-12,,,,,6.32
1996-01,,,,,5.81
1996-02,,,,,5.58
1996-03,,,,,5.5
1996-04,,,,,5.27
1996-05,,,,,5.06
1996-06,,,,,5.08
1996-07,,,,,5.06
1996-08,,,,,5.08
1996-09,,,,,4.86
1996-10,,,,,4.69
1996-11,,,,,4.57
1996-12,,,,,4.5
1997-01,,,,,4.39
1997-02,,,,,4.43
1997-03,,,,,4.5
1997-04,,,,,4.39
1997-05,,,,,4.3
1997-06,,,,,4.29
1997-07,,,,,4.3
1997-08,,,,,4.36
1997-09,,,,,4.31
1997-10,,,,,4.44
1997-11,,,,,4.49
1997-12,,,,,4.37
1998-01,,,,,4.26
1998-02,,,,,4.24
1998-03,,,,,4.11
1998-04,,,,,4.09
1998-05,,,,,4.06
1998-06,,,,,4.02
1998-07,,,,,3.95
1998-08,,,,,3.93
1998-09,,,,,3.93
1998-10,,,,,3.81
1998-11,,,,,3.69
1998-12,,,,,3.37
1999-01,,,,,3.1321
1999-02,,,,,3.0934
1999-03,,,,,3.0466957
1999-04,,,,,2.6964545
1999-05,,,,,2.5789524
1999-06,,,,,2.6266818
1999-07,,,,,2.6764545
1999-08,,,,,2.6950455
1999-09,,,,,2.7266818
1999-10,,,,,3.3756667
1999-11,,,,,3.4676818
1999-12,,,,,3.4460455
2000-01,2.03,3.03,1.13,0.75,3.3431429
2000-02,2.05,3.03,1.13,0.75,3.5367619
2000-03,2.03,3.03,1.13,0.75,3.7470435
2000-04,2.03,3.03,1.13,0.75,3.9252778
2000-05,2.05,3.25,1.12,0.75,4.3620455
2000-06,2.05,3.25,1.13,0.75,4.5017273
2000-07,2.05,3.25,1.12,0.75,4.5829048
2000-08,2.03,3.43,1.12,0.75,4.777087
2000-09,2.03,3.48,1.12,0.75,4.8528095
2000-10,2.06,3.48,1.13,0.75,5.0412727
2000-11,2.06,3.65,1.13,0.75,5.0919545
2000-12,2.07,3.65,1.13,0.75,4.9391579
2001-01,2.09,3.65,1.12,0.75,4.7707273
2001-02,2.07,3.65,1.12,0.75,4.7558
2001-03,2.04,3.65,1.12,0.75,4.7086364
2001-04,2.04,3.65,1.12,0.75,4.682
2001-05,2.06,3.6,1.12,0.75,4.6366818
2001-06,2.09,3.6,1.12,0.75,4.4535714
2001-07,2.09,3.6,1.12,0.75,4.4671364
2001-08,2.05,3.54,1.12,0.75,4.3535217
2001-09,2.05,3.54,1.12,0.75,3.98285
2001-10,2.05,3.43,1.12,0.75,3.5998696
2001-11,2.05,3.14,1.13,0.75,3.3856818
2001-12,2.07,3.31,1.12,0.75,3.3448889
2002-01,2.07,3.25,1.12,0.71,3.3387727
2002-02,2.06,3.25,1.12,0.71,3.3571
2002-03,2.06,3.25,1.13,0.71,3.3908
2002-04,2.07,3.14,1.12,0.71,3.4069048
2002-05,2.07,3.14,1.12,0.71,3.4671364
2002-06,2.07,3.14,1.13,0.62,3.464
2002-07,2.08,3.14,1.13,0.62,3.41
2002-08,2.07,3.14,1.13,0.62,3.3519091
2002-09,2.07,3.14,1.13,0.62,3.3101429
2002-10,2.07,3.14,1.13,0.62,3.2612609
2002-11,2.08,3.14,1.13,0.62,3.1241429
2002-12,2.09,3.03,1.13,0.62,2.94105
2003-01,,3.03,,0.62,2.8318182
2003-02,,3.04,,0.61,2.68745
2003-03,,2.91,,0.6,2.5299524
2003-04,,2.87,,0.59,2.53335
2003-05,,2.86,,0.53,2.4005238
2003-06,,2.89,,0.52,2.1518571
2003-07,,2.78,,0.52,2.1300435
2003-08,,2.74,,0.52,2.1404286
2003-09,,2.74,,0.53,2.1473182
2003-10,,2.75,,0.54,2.1435652
2003-11,,2.73,,0.53,2.15905
2003-12,,2.75,,0.51,2.1463333
2004-01,,2.72,,0.51,2.0894762
2004-02,,2.69,,0.5,2.07055
2004-03,,2.69,,0.5,2.0288261
2004-04,,2.69,,0.51,2.04875
2004-05,,2.66,,0.46,2.0858571
2004-06,,2.66,,0.46,2.1126818
2004-07,,2.67,,0.46,2.1160455
2004-08,,2.66,,0.48,2.1142727
2004-09,,2.66,,0.48,2.1185909
2004-10,,2.67,,0.49,2.1473333
2004-11,,2.67,,0.5,2.1703182
2004-12,,2.61,,0.49,2.1731739
2005-01,,2.59,,0.5,2.1454286
2005-02,,2.55,,0.5,2.13835
2005-03,,2.53,,0.52,2.1371905
2005-04,,2.48,,0.52,2.1372381
2005-05,,2.48,,0.48,2.1256364
2005-06,,2.46,,0.48,2.1110455
2005-07,,2.45,,0.48,2.1194286
2005-08,,2.45,,0.49,2.1324783
2005-09,,2.41,,0.48,2.1391364
2005-10,,2.4,,0.47,2.196619
2005-11,,2.4,,0.48,2.3608636
2005-12,,2.4,,0.48,2.4728571
2006-01,,2.44,,0.49,2.5116818
2006-02,,2.37,,0.51,2.60035
2006-03,,2.37,,0.49,2.7226087
2006-04,,2.38,,0.5,2.7937778
2006-05,,2.41,,0.47,2.889
2006-06,,2.42,,0.49,2.9856818
2006-07,,2.5,,0.51,3.1021905
2006-08,,2.49,,0.54,3.2264783
2006-09,,2.48,,0.55,3.335381
2006-10,1.57,2.51,1.2,0.59,3.502
2006-11,1.57,2.51,1.22,0.61,3.5971818
2006-12,1.57,2.51,1.2,0.63,3.6842105
2007-01,1.57,2.55,1.23,0.66,3.7518636
2007-02,1.58,2.55,1.23,0.67,3.8182
2007-03,1.58,2.54,1.21,0.68,3.8909091
2007-04,1.59,2.61,1.25,0.7,3.9752632
2007-05,1.58,2.6,1.2,0.65,4.0713636
2007-06,1.61,2.59,1.2,0.67,4.1477619
2007-07,1.67,2.66,1.21,0.71,4.2161818
2007-08,1.74,2.67,1.25,0.75,4.5436087
2007-09,1.75,2.73,1.23,0.77,4.7417
2007-10,1.76,2.76,1.2,0.78,4.6873913
2007-11,1.76,2.77,1.18,0.76,4.6385455
2007-12,1.76,2.79,1.16,0.8,4.8483684
2008-01,1.77,2.77,1.12,0.78,4.4815455
2008-02,1.78,2.75,1.11,0.78,4.3620952
2008-03,1.78,2.77,1.1,0.77,4.5963684
2008-04,1.79,2.78,1.08,0.82,4.7835
2008-05,1.82,2.79,1.01,0.77,4.857381
2008-06,1.84,2.83,1.01,0.77,4.9405238
2008-07,2.24,2.84,0.99,0.79,4.961
2008-08,2.39,3.0,1.07,0.82,4.9651905
2008-09,2.43,3.02,1.13,0.8,5.0191818
2008-10,2.49,3.07,1.09,0.82,5.113087
2008-11,2.47,3.11,0.95,0.76,4.2383
2008-12,2.16,3.16,0.79,0.72,3.292619
2009-01,1.99,3.19,0.73,0.65,2.4565238
2009-02,1.76,3.09,0.7,0.6,1.94305
2009-03,1.54,2.93,0.65,0.61,1.6354545
2009-04,1.42,2.83,0.61,0.57,1.4223
2009-05,1.41,2.79,0.53,0.52,1.2817
2009-06,1.41,2.66,0.51,0.5,1.2279091
2009-07,1.39,2.48,0.41,0.48,0.9749565
2009-08,1.38,2.4,0.42,0.5,0.8604762
2009-09,1.29,2.35,0.4,0.48,0.7720909
2009-10,1.29,2.21,0.37,0.44,0.7375
2009-11,1.28,2.18,0.37,0.46,0.7161905
2009-12,1.27,2.15,0.37,0.44,0.7120455
2010-01,1.22,2.08,0.33,0.43,0.67975
2010-02,1.21,2.09,0.33,0.42,0.6617
2010-03,1.15,2.06,0.28,0.44,0.6449565
2010-04,1.13,2.02,0.32,0.45,0.6447
2010-05,1.14,2.0,0.26,0.42,0.6865238
2010-06,1.12,1.94,0.31,0.43,0.7275909
2010-07,1.1,1.95,0.32,0.45,0.8488182
2010-08,1.1,1.94,0.33,0.47,0.8955
2010-09,1.09,1.94,0.32,0.46,0.8805
2010-10,1.06,1.96,0.34,0.44,0.9976667
2010-11,1.06,1.96,0.33,0.44,1.0420455
2010-12,1.07,1.97,0.34,0.43,1.0216957
2011-01,1.06,1.99,0.36,0.44,1.0172381
2011-02,1.06,1.99,0.35,0.44,1.08675
2011-03,1.06,2.02,0.35,0.48,1.1755217
2011-04,1.08,2.11,0.37,0.51,1.3212105
2011-05,1.08,2.13,0.38,0.47,1.4250909
2011-06,1.07,2.19,0.39,0.49,1.4885909
2011-07,1.07,2.21,0.42,0.5,1.597619
2011-08,1.08,2.24,0.43,0.54,1.552087
2011-09,1.08,2.25,0.43,0.54,1.5364545
2011-10,1.07,2.28,0.43,0.58,1.5758571
2011-11,1.07,2.33,0.39,0.57,1.4846818
2011-12,1.07,2.36,0.34,0.56,1.4260952
2012-01,1.07,2.36,0.3,0.55,1.2222273
2012-02,1.07,2.37,0.32,0.55,1.0482857
2012-03,1.07,2.37,0.32,0.54,0.8584545
2012-04,0.95,2.33,0.33,0.54,0.7443158
2012-05,0.95,2.32,0.33,0.5,0.6849091
2012-06,0.95,2.24,0.3,0.49,0.6588571
2012-07,0.91,2.14,0.3,0.5,0.4970455
2012-08,0.92,2.09,0.29,0.49,0.3323913
2012-09,0.91,2.02,0.27,0.46,0.2463
2012-10,0.84,2.0,0.26,0.47,0.207913
2012-11,0.79,1.99,0.24,0.46,0.192
2012-12,0.79,1.99,0.24,0.45,0.1854737
2013-01,0.79,1.89,0.23,0.44,0.2049091
2013-02,0.75,1.79,0.23,0.43,0.22335
2013-03,0.74,1.71,0.25,0.41,0.20605
2013-04,0.74,1.7,0.21,0.43,0.2089048
2013-05,0.66,1.63,0.19,0.39,0.2012273
2013-06,0.66,1.6,0.19,0.4,0.21025
2013-07,0.65,1.52,0.19,0.41,0.2214348
2013-08,0.65,1.5,0.18,0.4,0.2258636
2013-09,0.64,1.49,0.18,0.4,0.2232381
2013-10,0.63,1.44,0.17,0.41,0.2258261
2013-11,0.62,1.43,0.16,0.39,0.223381
2013-12,0.6,1.43,0.17,0.39,0.2735
2014-01,0.6,1.39,0.17,0.38,0.2920455
2014-02,0.62,1.36,0.16,0.39,0.2881
2014-03,0.58,1.35,0.17,0.4,0.3053333
2014-04,0.55,1.35,0.17,0.4,0.32975
2014-05,0.52,1.34,0.15,0.36,0.3245714
2014-06,0.51,1.34,0.15,0.35,0.2414286
2014-07,0.47,1.27,0.15,0.36,0.2050435
2014-08,0.42,1.26,0.15,0.35,0.1915714
2014-09,0.4,1.24,0.15,0.36,0.0970909
