sample,model,beta,hedge_eur_bn
NL pre-ZLB,linear,0.285248168097052,71.4751831902948
NL pre-ZLB,linear MA60,0.5843290507168142,41.56709492831858
NL full,linear,0.5745964253500713,42.54035746499287
NL full,linear MA60,0.7227003599818982,27.72996400181018
NL matched,linear,0.5267543279385833,47.324567206141666
NL matched,linear MA60,0.7589246166445074,24.107538335549265
BE pre-ZLB,linear,0.23762730252507858,76.23726974749214
BE pre-ZLB,linear MA60,0.5223128188401593,47.768718115984065
BE full,linear,0.3686737607894175,63.13262392105825
BE full,linear MA60,0.4573372701502376,54.26627298497623
