sample,model,2022,2023,2024,2025,2026 (7m),total
NL pre-ZLB,linear,575.0527789916647,689.6293096034946,725.0257498651343,1046.244841411018,664.3853925443036,3700.338072415615
NL pre-ZLB,linear MA60,116.53597929039958,-352.9642297349884,-329.130139639875,365.03582910013967,442.2088835289954,241.68632254467127
NL pre-ZLB,level-dependent,635.3246373349557,752.248618796236,774.0783594273017,1079.2454426211054,677.6640753643698,3918.561133543968
NL pre-ZLB,asymmetric,31.572520164400313,-747.6277979824997,-1286.8974107416243,-1050.5591677408345,-518.6313485231614,-3572.1432048237193
NL pre-ZLB,asymmetric MA60,78.35280145470455,-351.07238411567164,-195.46835676218984,557.1999834066801,549.9438228116397,638.9558667951628
NL full,linear,104.31293231270197,-179.38292230248993,-173.3701425982384,229.69064749888665,230.07332854138897,211.32384345224926
NL full,linear MA60,-25.040749428979336,-715.9174841385483,-831.0395672978183,-182.2088173767624,122.82064073177042,-1631.3859775103379
NL full,level-dependent,104.31293141717069,-179.38316890422465,-173.37072501894247,229.69000604405633,230.07299629657325,211.32203983463316
NL full,asymmetric,60.46405431694439,-510.0292446340532,-828.5344966857622,-492.38628089545546,-161.6991004144845,-1932.185068312811
NL full,asymmetric MA60,-34.27548070093664,-729.8269270347104,-824.0421523415566,-147.68796614786243,151.74789379485773,-1584.0846324302083
NL matched,linear,26.300563507843112,-474.0826786102196,-514.746892552219,-52.458589408330354,63.66410716797728,-951.3234898949486
NL matched,linear MA60,-52.98592388164613,-748.0309139693123,-849.9070332135155,-219.8157703482931,87.15369597611635,-1783.585945436651
NL matched,level-dependent,26.300563517577068,-474.08267845208735,-514.7468922019427,-52.45858901114678,63.664107385582405,-951.3234887620173
NL matched,asymmetric,-14.23462742808955,-792.7918208750291,-1170.4465061996673,-808.440751821105,-363.2648759353032,-3149.178582259194
NL matched,asymmetric MA60,-54.588742242703724,-750.5416522977648,-850.0037661116328,-215.49123420513146,92.08105130924154,-1778.5443435479913
BE pre-ZLB,linear,367.22529407700443,759.9243345387023,555.0813602584026,510.11138006922636,355.98867148275633,2548.331040426092
BE pre-ZLB,linear MA60,-43.10341504666776,-255.88625759734106,-288.3508485951553,159.67908916722203,281.2836272165219,-146.37780485542015
BE pre-ZLB,level-dependent,421.0354826923364,800.0701200651367,582.1142913343461,529.0592592374492,363.9426900762099,2696.2218434054785
BE pre-ZLB,asymmetric,320.13146671047383,669.2506617210382,482.0778246166702,489.9495138470305,359.79466617329746,2321.2041330685106
BE pre-ZLB,asymmetric MA60,-14.904935060033955,-92.65204889612939,-47.87020222572413,388.04623223975545,413.4357013618291,646.0547474196972
BE full,linear,176.93894862027105,517.6933621560783,402.6881827392776,380.0948883575809,275.48793670746096,1752.9033185806686
BE full,linear MA60,-2.4538505191968047,-142.02599202792027,-132.01653811614761,316.05401941907184,365.2766926823565,404.83433143816364
BE full,level-dependent,176.93894775516165,517.6933684110147,402.6881976102725,380.0949023550947,275.4879430029479,1752.9033591344914
BE full,asymmetric,176.89304375082298,528.5797340509487,419.14694658517726,387.31648702818353,275.3797964071727,1787.316007822305
BE full,asymmetric MA60,16.232105323881747,-86.50880150930556,-70.11293592962778,357.4365479189454,382.6992692702546,599.7461850741483
NL benchmark,naive no-change,-50.833333333333336,-1030.8333333333335,-1635.8333333333333,-1405.8333333333333,-759.1666666666666,-4882.5
BE benchmark,naive no-change,0.8333333333333329,-420.0,-865.8333333333334,-726.6666666666667,-350.00000000000006,-2361.666666666667
